Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
7723bb2e-891f-eb24-6c0b-f65c2c67e420,1966-10-19,,999-36-2952,S99929839,X29997370X,Mrs.,Edythe31,Antoinette709,Witting912,,Torphy630,W,white,hispanic,F,Arden-Arcade  California  US,487 Olson Mall Apt 1,El Centro,California,Imperial County,6025,92251,32.721818456079085,-115.60635949580637,1019424.51,486383.22,52485
976dd7df-3649-3527-a6c4-f52fe6e84bf1,1980-06-30,,999-79-7262,S99922734,X30575945X,Mrs.,Asuncion264,,Rice937,,Lockman863,M,white,nonhispanic,F,Shingletown  California  US,917 Watsica Fork,Artesia,California,Los Angeles County,6037,90701,33.915317246109836,-118.0730414235573,817274.01,953892.86,89294
b4f7c159-8b78-ca59-6482-927746403aea,1985-12-13,2000-12-16,999-16-1195,,,,Maybelle917,Juliana372,Prosacco716,,,,white,nonhispanic,F,Burbank  California  US,805 Keebler Esplanade Suite 9,Oceanside,California,San Diego County,6073,92083,33.13975603551261,-117.32177171292011,5793.37,110956.75,1732
44a37beb-5b70-edd1-7997-4417509bf695,1998-12-09,,999-84-3483,S99916602,X52203319X,Mr.,Horace32,Bud153,Kuphal363,,,,white,nonhispanic,M,Vista Santa Rosa  California  US,363 Wuckert Bypass,Rancho Cucamonga,California,San Bernardino County,6071,91739,34.21158786010004,-117.53193396330029,22472.28,103740.88,42390
369243da-2bc4-63f2-eb07-c6dce512c42e,2010-03-06,,999-76-3317,,,,Pauletta164,,Dach178,,,,white,hispanic,F,Upland  California  US,978 Schumm Byway,West Covina,California,Los Angeles County,6037,91790,34.09109482697371,-117.93646139807034,68321.99,0.00,89298
0373a3d4-5aa6-eda0-8bbb-0142729f3ff5,1955-05-11,,999-72-7420,S99920202,X5627102X,Ms.,Shenika151,Justina408,Adams676,,,S,white,nonhispanic,F,Porterville  California  US,199 Batz Avenue,Rancho Cucamonga,California,San Bernardino County,6071,91701,34.188871653620424,-117.51933483742803,319096.25,296798.12,147279
bf1ed2a4-da7f-d303-9ed8-bf2334be5447,2010-05-16,,999-57-6303,,,,Eloisa55,Eva64,Galván169,,,,white,hispanic,F,Panama City  Panama  PA,500 Heaney Annex,Rancho Palos Verdes,California,Los Angeles County,6037,90274,33.828246631863564,-118.41964207410892,2150.00,46676.53,44251
53e30174-e7a1-4901-1716-0b6d3af07215,1994-08-05,,999-92-2056,S99946445,X66726850X,Mr.,Kasey569,Fidel864,Hansen121,,,M,white,nonhispanic,M,Arden-Arcade  California  US,209 Graham Vista,Montalvin Manor,California,Contra Costa County,,00000,37.988951266376,-122.35678849371217,66897.92,60221.42,83510
9cfd268b-38ba-28a6-ab93-9386303d9938,1999-04-21,,999-49-2886,S99950961,X3011001X,Ms.,Sumiko254,Emelia239,Schumm995,,,,white,nonhispanic,F,Oroville East  California  US,193 Larson Dam Unit 15,Desert Hot Springs,California,Riverside County,6065,92241,33.897279849055884,-116.47950943562672,8540.90,583999.74,19745
cb6f5021-09e8-fdab-843e-7e7aac9a0989,1985-12-13,,999-28-5628,S99926016,X16521764X,Mrs.,Carlee848,Lonna614,Koepp521,,Harber290,M,white,nonhispanic,F,Los Angeles  California  US,986 Bartoletti Divide Unit 52,Oceanside,California,San Diego County,6073,92058,33.1478478239953,-117.37165674079174,10893.94,861398.25,1732
0c9cf554-d040-749d-1897-c6e3a6f1c061,2017-10-15,,999-79-3474,,,,Cathleen724,Joan322,Larkin917,,,,white,hispanic,F,Valley Springs  California  US,985 Parker Spur,Bell,California,Los Angeles County,6037,90201,33.96196282929366,-118.18723537777603,15009.92,4832.61,49609
12100d28-85b4-8be7-59ce-9a6cae8774a5,2016-04-04,,999-32-2431,,,,Ernestina649,,Corwin846,,,,white,nonhispanic,F,Los Angeles  California  US,925 Powlowski Park,San Diego,California,San Diego County,6073,92139,32.969122714633315,-116.96138245492156,1250.00,21338.79,37455
cbc30195-e910-9177-2d82-f59a3f6982ae,2021-08-14,,999-25-8225,,,,Freddy176,Stefan297,Hane680,,,,white,nonhispanic,M,Los Angeles  California  US,424 Eichmann Ville Apt 4,San Diego,California,San Diego County,6073,92102,32.78916305157447,-117.05540453403611,5988.39,6133.51,88770
9309d75d-bd7d-90be-4257-c177c2d850c8,1969-07-13,,999-92-7538,S99996753,X75539441X,Mr.,Monty345,Keenan632,Schamberger479,,,D,white,nonhispanic,M,San Francisco  California  US,316 Ledner Neck,National City,California,San Diego County,6073,91950,32.64973529415933,-117.04173253406486,372070.40,560762.44,69324
35f6902e-7245-3cc0-240c-515df687ba2e,2015-02-10,,999-31-7812,,,,Brent147,Emerson869,Howe413,,,,asian,nonhispanic,M,Fresno  California  US,977 Rau Burg,San Francisco,California,San Francisco County,6075,94105,37.77368030495608,-122.43322866594649,41182.71,13822.82,366472
a6d35223-83c6-8224-22e3-245ea36f35a7,1985-02-15,,999-34-3245,S99942149,X84100526X,Mr.,Collin529,Christopher407,Schaefer657,,,M,asian,nonhispanic,M,East Hemet  California  US,120 Waters Station,San Jose,California,Santa Clara County,6085,95131,37.26503605526418,-121.81560095502675,75781.99,30471.94,56626
e2f0a7ca-7e5b-3f00-545a-39f043d8b4d0,1988-08-11,,999-10-5359,S99953128,X38051621X,Mrs.,Maren639,Colby655,Rosenbaum794,,Daniel959,M,asian,hispanic,F,Palm Desert  California  US,691 Pagac Wynd,Los Angeles,California,Los Angeles County,6037,91504,34.249617792387035,-118.359972447721,14837.41,384969.65,16208
59d79a77-ce1a-1a25-3f7c-e48afb01e9f6,2023-07-05,,999-71-7048,,,,Sherry479,Caryn49,Larson43,,,,white,nonhispanic,F,Baldwin Park  California  US,795 Hand Neck Unit 54,Lindsay,California,Tulare County,6107,93247,36.22333817073131,-119.0625389989569,6214.47,710.96,54257
88fadcf2-71d4-5fad-9c21-13990314fabc,1963-03-22,,999-34-6563,S99994193,X87948513X,Mrs.,Catherin804,Kum811,Crona259,,Lynch190,M,white,hispanic,F,Rancho Cordova  California  US,337 Rippin Rest Apt 38,Vallejo,California,Solano County,6095,94592,38.11106352236938,-122.19243213663928,21785.70,1228040.48,17810
3d1b5305-04af-fbfb-48ea-aa47f6b85f70,1952-05-05,,999-60-1400,S99971165,X8796492X,Mrs.,Tara292,Moira454,Lesch175,,Mayert710,M,white,nonhispanic,F,Redwood City  California  US,1081 Block Glen Apt 56,Indio,California,Riverside County,6065,92236,33.779348899118105,-116.30107733408423,1488612.23,387876.12,87151
58ace9b8-3778-cd64-9085-1c3ec4788be2,2007-03-03,,999-14-5959,S99934865,,Ms.,Anh979,Piedad413,Lindgren255,,,,white,hispanic,F,Mission Viejo  California  US,649 Hauck Center Unit 54,Bonadelle Ranchos-Madera Ranchos,California,Madera County,,00000,36.98119812224912,-119.86824450985338,34687.98,48943.47,101660
e671a883-8eee-dabc-3e9b-fb94d45a66e3,1975-09-21,,999-81-6651,S99913890,X31543626X,Mr.,Darrin898,Gilberto712,Bahringer146,,,S,white,nonhispanic,M,Los Angeles  California  US,318 Smith Rapid,Thousand Oaks,California,Ventura County,6111,91360,34.304120175220696,-118.81573244544182,147274.34,36644.47,238474
16063b68-52a5-2a86-d258-45e7ad9ff29f,1992-07-23,,999-79-6568,S99949793,X39110607X,Mrs.,Lesli455,Kristal814,Sawayn19,,Dibbert990,M,white,nonhispanic,F,San Jose  California  US,119 Cummings Tunnel,San Jose,California,Santa Clara County,6085,95121,37.23660776639834,-121.82387275277051,146869.79,262476.20,58093
31c04d3c-5372-b9db-4d72-9488983bcd84,1987-04-24,,999-90-8235,S99994405,X12056789X,Mr.,Lon587,Earle679,Langworth352,,,S,black,nonhispanic,M,Livermore  California  US,669 Ward Mission,San Diego,California,San Diego County,6073,92124,32.99299687830395,-117.29756735535145,294271.80,3336.76,108034
f98945b8-63e1-a4fe-8853-1cd914e44584,2021-02-27,,999-92-3821,,,,Danuta945,Tamera164,Tremblay80,,,,white,nonhispanic,F,Long Beach  California  US,683 McLaughlin Loaf Unit 27,Calimesa,California,Riverside County,6065,92320,33.974924769822465,-117.07946355205684,600.00,20752.51,32789
f1587fcc-76f6-c970-b9c2-7087f98d4678,1987-05-04,,999-19-6961,S99969522,X32792766X,Mr.,Homero668,,Delacrúz637,,,M,white,hispanic,M,San Salvador  El Salvador  SV,256 Metz Trace,Menifee,California,Riverside County,6065,92596,33.67617134495756,-117.21730083286015,18529.17,1057288.79,14326
12f67541-182a-8375-3ab1-653f5e4d2bae,2011-06-11,,999-89-7109,,,,Octavio643,Gaylord332,Stracke611,,,,white,nonhispanic,M,San Francisco  California  US,305 O'Kon Mews Apt 47,Arcadia,California,Los Angeles County,6037,91007,34.059408131633475,-118.10444469149388,2992.30,54925.80,24444
6a0fd5e7-3616-8312-a619-b5b7ddd4d892,1951-04-01,,999-75-9537,S99981432,X37031597X,Ms.,Lynetta635,Olimpia983,Roberts511,,,S,white,nonhispanic,F,Los Gatos  California  US,161 Littel Pathway Unit 7,Oakley,California,Contra Costa County,6013,94561,37.985808592126034,-121.71482389673389,617579.17,2175411.35,155319
f1dfea9c-b871-3087-ff29-e12985b514e2,2001-11-01,,999-94-5279,S99928732,X1973168X,Mr.,Warren653,,Harvey63,,,,white,hispanic,M,Long Beach  California  US,981 Rosenbaum Rue Suite 31,Los Angeles,California,Los Angeles County,6037,90043,34.05220528737572,-118.44363054679606,77715.27,48646.87,63662
162a3759-9c20-a97e-22f7-5e9bdbf2cbe4,1973-02-12,,999-71-4001,S99948368,X37763888X,Ms.,Micaela928,Olivia294,Frías523,,,S,black,hispanic,F,Caracas  Capital District  VE,200 Bernier Union,Downey,California,Los Angeles County,6037,90650,33.95860064783192,-118.11481038404442,820196.99,716566.90,46643
571653e1-0419-944a-495c-5a3adc6411a4,1950-11-10,,999-50-3520,S99988595,X34156247X,Ms.,Ranae267,,Franecki195,,,S,white,nonhispanic,F,East Sonora  California  US,426 Cole Promenade,Mill Valley,California,Marin County,6041,94941,37.91623118907496,-122.60035079664344,1558245.26,861806.25,94558
fc57fc63-f9cb-5b2d-7380-675973bbe4b7,1947-09-26,,999-93-4616,S99971170,X70979012X,Mrs.,Glendora96,,Rau926,,Collier206,M,white,nonhispanic,F,Baldwin Park  California  US,401 Stehr Common,West Sacramento,California,Yolo County,6095,95620,38.49823754771183,-121.69232700888924,698290.24,656934.31,52864
f29d6b25-0310-1c2a-b72b-bd3778cac0c2,1966-05-14,,999-63-1392,S99948765,X1932561X,Mrs.,Dolores502,Daniela614,Domínquez36,,Arguello39,M,white,hispanic,F,Kingston  Kingston  JM,655 Daniel Key,Oceanside,California,San Diego County,6073,92081,33.25631528538002,-117.2803215390568,1242640.74,371156.54,118083
4891f0d1-d310-4137-7b87-4100a99408a1,1991-02-20,,999-42-4921,S99937976,X14595987X,Mrs.,Beatriz277,Ruby458,Buckridge80,,Boyle917,M,white,nonhispanic,F,Coachella  California  US,843 Carter Estate,San Jose,California,Santa Clara County,6085,95133,37.25644129226943,-121.79275442039723,199764.92,571725.31,47453
25d5e54b-0d6e-cffb-6509-c9686674fc0e,2004-03-10,,999-84-2889,S99971952,X44893898X,Mr.,Pablo44,,Sosa986,,,,white,hispanic,M,Caguas  Puerto Rico  PR,183 Gislason Glen Apt 35,Napa,California,Napa County,6055,94559,38.32811996339213,-122.2702290321379,3693.84,65771.41,12943
f687efc5-f8c2-c096-9c5f-7acfa18aa962,1978-05-13,,999-42-9735,S99977196,X39346998X,Ms.,Lynetta635,Loyce848,Treutel973,,,S,white,nonhispanic,F,Riverside  California  US,687 Schowalter Walk Apt 15,Redondo Beach,California,Los Angeles County,6037,90278,33.85630697572862,-118.33274636888545,1132931.34,703259.19,101338
0675bc96-c2f5-7737-d2ae-6a7210b64fdd,1962-03-12,,999-85-7430,S99972032,X84123397X,Mrs.,Brittani427,Toccara373,Wolf938,,Collier206,D,white,nonhispanic,F,Chino  California  US,526 Ferry Light Apt 32,San Juan Capistrano,California,Orange County,6059,92624,33.4580102802599,-117.58899387483919,402103.21,722578.60,284626
8762c0c2-06d3-2ab0-4c20-6e3af2125bde,2023-05-09,,999-20-1546,,,,Rebeca548,,Aragón562,,,,white,hispanic,F,Salisbury  Saint Joseph Parish  DM,881 Kunze Common Apt 23,Huron,California,Fresno County,6019,93234,36.27436824351971,-120.05625121915158,312.26,8342.35,32012
c0bc4b01-fb64-2a32-e233-3b2131a41e24,1951-03-09,2019-08-06,999-57-4916,S99996615,X21720101X,Mr.,Abel832,,Braun514,,,D,white,nonhispanic,M,Santa Ana  California  US,747 Kunde Park Unit 0,Stockton,California,San Joaquin County,6077,95242,37.88689427773607,-121.31864179034113,58245.80,1120297.79,16226
5d28fffe-b9ac-e2b5-c8b6-304ce9047bb1,1921-02-08,,999-86-5663,S99948139,X30173486X,Mrs.,Penny812,Debrah72,Streich926,,Rath779,M,white,nonhispanic,F,Banning  California  US,249 Smitham Mission,Martinez,California,Contra Costa County,6013,94553,38.04021772610502,-122.14421792696022,1290551.92,336954.57,82488
d805f852-6573-27d5-7fde-eb60041f113e,2011-05-11,,999-20-6176,,,,Cammy883,,Bradtke547,,,,white,nonhispanic,F,San Luis Obispo  California  US,575 Breitenberg Arcade,Yuba City,California,Sutter County,6101,95991,39.135528240407005,-121.64161204424379,3653.79,337370.22,42140
32caa733-a9b6-2e4d-79ec-e7bea8cc4f3f,1996-10-18,,999-47-2123,S99988680,X3194963X,Mr.,Samual455,Gus973,Jaskolski867,,,M,native,nonhispanic,M,Baldwin Park  California  US,768 Pollich Heights Suite 40,Los Angeles,California,Los Angeles County,6037,91316,34.00373335795295,-118.43441137512767,18283.20,71758.59,33059
6adf0f85-a1d1-5b70-8ce0-c32263db42ee,1949-04-13,,999-52-2330,S99931078,X31271010X,Mr.,Frederick289,Silas208,Funk324,,,M,white,nonhispanic,M,El Cajon  California  US,289 Lesch Run Suite 71,Bystrom,California,Stanislaus County,,00000,37.64644920175884,-120.94025244468922,13129.10,277985.52,8387
97abb659-3aa3-7ad4-759c-9fdfb0c37e02,1968-04-07,,999-37-2458,S99950082,X83507531X,Mr.,Eldridge510,Mitch821,Mraz590,,,S,white,hispanic,M,Carlsbad  California  US,916 Brekke Terrace,Inglewood,California,Los Angeles County,6037,90250,33.89324391624561,-118.3138914741885,218008.79,71318.94,613707
8906662a-3794-c7bb-d6fe-0871cca11e68,2002-06-24,,999-13-8683,S99980226,X9760361X,Mr.,Rickey821,Hilton264,O'Keefe54,,,,asian,nonhispanic,M,San Francisco  California  US,533 Gleason Run Suite 8,Castro Valley,California,Alameda County,6001,94552,37.68429053128667,-122.12064244638312,116825.88,801725.79,62358
5123af6f-4126-88d0-1f32-bb521e6e7f7a,1951-03-09,1984-04-27,999-30-5336,S99992158,X23859862X,Mr.,Minh326,Fritz267,Pfeffer420,,,M,white,nonhispanic,M,Goleta  California  US,286 Hagenes Trailer Apt 14,Stockton,California,San Joaquin County,6077,95205,37.907165396524164,-121.30517125504996,7775.44,125026.12,16226
585975cf-0fd7-7759-7bdb-50ff0259f271,2017-10-20,,999-19-8337,,,,Coletta724,Sunday568,Lehner980,,,,white,hispanic,F,Oceanside  California  US,862 Cremin Grove,Aliso Viejo,California,Orange County,6059,92653,33.576883002624264,-117.66161612701802,23169.09,56553.49,178902
b068a41f-49b8-e328-9d39-13418040d1dd,2002-01-22,,999-84-6714,S99965942,X85922212X,Mr.,Norman647,,Kassulke119,,,,white,nonhispanic,M,Bell Gardens  California  US,253 Koch Road,Bakersfield,California,Kern County,6029,93307,35.38244532959852,-119.03038190809374,12521.41,70780.24,32094
ccd8a278-bdbb-ada0-0b77-5d7e5b5ac3ff,2008-08-04,,999-59-9331,S99940504,,,Concepción765,Débora815,Magaña874,,,,white,hispanic,F,San Juan  Puerto Rico  PR,327 Schuster Knoll,Fresno,California,Fresno County,6019,93722,36.824241334643304,-119.76694263504498,98442.34,778502.92,107671
edd45701-bee1-393d-8086-41465e0faf5a,2020-09-09,,999-63-1946,,,,Amado512,Dillon740,Marvin195,,,,white,nonhispanic,M,San Diego  California  US,981 O'Reilly Avenue,Crescent City,California,Del Norte County,6015,95531,41.7733944345659,-124.28374872074104,957.00,17460.77,15746
252bb977-5fdd-6d45-f499-36f9313391ff,1974-11-23,,999-78-2194,S99920278,X37355000X,Mr.,Octavio643,Delmer311,Yost751,,,M,black,nonhispanic,M,San Diego  California  US,1063 Tremblay Fort,Elk Grove,California,Sacramento County,6067,95829,38.440802923943586,-121.2494494934956,17422.39,483832.53,16327
ca0212e9-c5e0-c205-e222-d82859ea3884,1971-06-25,,999-93-8332,S99993354,X73374498X,Mr.,Leland44,Anton902,Heller342,,,W,asian,hispanic,M,Visalia  California  US,957 Swaniawski Meadow,Buena Park,California,Orange County,6059,90620,33.88781158672249,-118.02221104847659,104085.99,937493.45,34697
7e0223ce-33fb-51ac-a76c-6d6018b8b896,1990-09-26,,999-17-3994,S99950145,X59670424X,Mrs.,Keira502,Elenore794,Koss676,,Hauck852,M,white,hispanic,F,El Paso de Robles (Paso Robles)  California  US,990 Johnson Port Apt 42,San Buenaventura (Ventura),California,Ventura County,6111,93001,34.31992462209377,-119.22963910355477,171664.18,1420970.16,39939
3c55ba21-976b-9390-6e3f-2f7f46514c84,1951-03-09,2009-03-04,999-24-3916,S99950197,X45450958X,Mr.,Dudley365,Isaiah615,Macejkovic424,,,S,white,nonhispanic,M,Los Angeles  California  US,489 Cummings Track,Stockton,California,San Joaquin County,6077,95209,37.93753833388205,-121.40806132869444,9800.89,187148.22,16226
c2405596-aca0-11e2-cafd-cc041e642521,1998-03-10,,999-48-4041,S99962938,X73993610X,Ms.,Nona876,,Halvorson124,,,,asian,nonhispanic,F,Bangalore  Karnataka  IN,212 Mante Harbor Suite 71,Irvine,California,Orange County,6059,92618,33.64276062980503,-117.6662599680616,413538.86,203054.55,113364
c8ba5bb5-63ef-7b6b-70d2-3f6366a66d33,1994-09-04,,999-81-1300,S99984508,X8047572X,Mrs.,Doreatha634,Tereasa291,Rippin620,,Steuber698,M,white,nonhispanic,F,Corona  California  US,158 Schmitt Skyway Unit 18,Riverside,California,Riverside County,6065,92518,33.94089750568688,-117.44388478413786,639755.22,129063.90,87889
2460340b-0060-ab32-7475-666dfb1991f9,2023-02-21,,999-45-3258,,,,Man114,,Trantow673,,,,white,hispanic,F,Lemon Grove  California  US,729 Lowe Divide,El Cajon,California,San Diego County,6073,92019,32.84105178869994,-116.99135888344989,250.00,6751.84,21640
08decf15-efa9-6d10-75e9-e28e78c873d8,2021-11-28,,999-12-2540,,,,Hulda44,Iesha760,Leuschke194,,,,asian,hispanic,F,Glendora  California  US,536 Schroeder Ranch Unit 13,South Gate,California,Los Angeles County,6037,90280,33.98436869078356,-118.20516471698916,557.25,7249.24,43666
23b2e0a4-e3d2-4f5c-07d0-62caadf4dc08,2007-04-04,,999-36-8486,S99975024,,,Ramona980,,Cervantes583,,,,white,hispanic,F,Caguas  Puerto Rico  PR,832 Mayert Viaduct,Highland,California,San Bernardino County,6071,92346,34.08299221261631,-117.30867967776874,75877.58,192069.62,71506
b40534bf-f217-d230-a500-f34a402abd08,1961-06-15,,999-63-7265,S99947610,X53152947X,Mr.,Juan88,,Reséndez908,,,M,asian,hispanic,M,Panama City  Panama  PA,570 Kshlerin Dale,Huntington Beach,California,Orange County,6059,92646,33.74592705311821,-118.1007417682643,39092.56,207440.20,36847
58524469-a018-04ea-13e0-dc7c7cc20d0f,1985-04-25,,999-33-9793,S99993155,X82610159X,Mr.,Darwin703,Collin529,Breitenberg711,,,M,white,nonhispanic,M,Upland  California  US,1061 Emmerich Underpass Unit 85,Los Angeles,California,Los Angeles County,6037,91423,33.78408463905823,-118.40839485190591,27780.18,131501.38,44940
d5e11af8-152b-2da2-f281-551f77f605c8,2011-09-11,,999-31-7494,,,,Eliana466,Verdell500,Schneider199,,,,white,nonhispanic,F,Oxnard  California  US,1071 Stamm Rapid Suite 64,Lakewood,California,Los Angeles County,6037,90713,33.824964636536514,-118.15997811167581,41442.48,9796.14,81433
c33b09d5-bfb7-6f9c-7a7c-adf3c6460c15,1958-12-26,,999-75-2203,S99975724,X38208396X,Mr.,Hernán834,Clemente531,Corona300,,,W,white,hispanic,M,Santiago  Santiago Province  CL,862 O'Connell Avenue Apt 2,Orange,California,Orange County,6059,92867,33.722468236171146,-117.72448935346607,112680.76,137858.13,38389
436a7724-c016-4986-7565-ad35ee87a63d,1991-06-24,,999-25-8360,S99982320,X78166466X,Mr.,Otis335,Coleman27,Davis923,,,M,asian,hispanic,M,Los Angeles  California  US,686 Conroy Burg,San Francisco,California,San Francisco County,6075,94124,37.765319519268694,-123.07134990882943,98604.79,37369.36,72971
885ebfa8-5e77-504e-eb5f-8715d4a7b090,1978-04-30,,999-56-4410,S99936365,X72492442X,Mr.,Wilton999,,Hansen121,,,M,white,nonhispanic,M,Santa Monica  California  US,370 McGlynn Trail Apt 31,Oakland,California,Alameda County,6001,94577,37.76535973863863,-122.2219176033545,44567.10,82744.67,32067
6d118e38-3a17-e861-55de-07f9c352a0f6,1956-06-03,,999-84-3412,S99970264,X6955511X,Mr.,Claudio955,Titus37,Gaylord332,,,S,white,nonhispanic,M,Spring Valley  California  US,102 Gutkowski Path,Los Angeles,California,Los Angeles County,6037,90290,34.05634484599193,-118.51605079746275,668865.40,1077214.27,68732
c39aef76-b166-aab4-b372-9aa36742816d,2008-02-21,,999-91-7245,S99938728,,,Crysta430,,Hoppe518,,,,black,nonhispanic,F,Alhambra  California  US,1009 Pollich Well,Norwalk,California,Los Angeles County,6037,90670,33.939161035483416,-118.0596283986809,36908.59,61065.42,118686
ab77ea61-e58f-684e-95b0-3c23583cc2ee,1994-03-30,2020-07-11,999-45-5546,S99961084,X14915219X,Ms.,Hertha832,Inga743,Schiller186,,,,black,nonhispanic,F,Santa Clarita  California  US,197 Ebert Run Apt 98,Twentynine Palms,California,San Bernardino County,6071,92278,34.19130283237247,-115.6853439573033,195875.03,595774.18,24109
28a58a9f-5fbe-5b2c-f7fc-00b2797999cc,1957-08-31,,999-75-2306,S99937160,X79000095X,Mr.,Marlon619,Rosario163,Leffler128,,,D,white,hispanic,M,Turlock  California  US,439 Will Drive,San Bernardino,California,San Bernardino County,6071,92410,34.12199366181691,-117.22439112167176,231446.98,237568.43,46184
f2b32e12-982c-044b-9df9-c5309d376a7c,1994-03-30,,999-58-6496,S99982376,X77002090X,Mrs.,Tanisha724,Iraida50,Sipes176,,Kerluke267,M,black,nonhispanic,F,Los Angeles  California  US,898 Herman Spur,Twentynine Palms,California,San Bernardino County,6071,92278,34.261738898340845,-116.06463609909076,97664.69,411298.38,24109
bd280110-41e5-e1c4-e37e-32ec0bfc60ea,2018-03-10,,999-14-7214,,,,Alejandro916,José Emilio366,Leyva523,,,,asian,hispanic,M,Gaudalajara  Jalisco  MX,789 Howe Byway,Santa Ana,California,Orange County,6059,92868,33.671401840102114,-117.87387709643734,36534.77,1692.00,73708
a92fcf3d-27f0-77f4-f931-38740fd35940,1993-09-10,,999-17-5531,S99916675,X9673373X,Mrs.,Patricia625,Ana Luisa894,Corona300,,Olvera69,M,white,hispanic,F,Santiago  Santiago Province  CL,166 Lesch Dale,Los Angeles,California,Los Angeles County,6037,90064,34.030339799046764,-118.44086012004976,268953.52,679981.88,67674
